Name,Symbol,Last price,Change,Mkt cap,Volume,Open,High,Low
Indian Oil Corporation Limited,IOC,430.00,11.05,2092784.28,8854820,420,433.45,414.45
Swelect Energy Systems Ltd,SWELECTES,550.00,-7.85,5537.86,14813,560.95,560.95,548.15
NCC Ltd,NCC,90.20,3.25,50029.95,6925876,87.4,90.45,86.6
Hindustan Copper Ltd.,HINDCOPPER,61.80,-0.45,57132.58,835474,62.45,62.7,61.65
Hindustan Unilever Ltd,HINDUNILVR,1177.95,-14.15,2547707.28,868190,1173,1193.1,1171.35
Hindustan Construction Company Ltd,HCC,39.40,-0.10,40059.95,6557548,39.45,40.55,38.75
Hindustan Petroleum Corporation Limited,HINDPETRO,457.35,24.75,690693.54,11129918,428,462.4,425.05
Dewan Housing Finance Corporation Ltd.,DHFL,456.35,-0.35,143135.87,1280797,459,462.5,454.6
Dhanlaxmi Bank Limited,DHANBANK,38.15,0.45,9678.08,612694,37.5,38.35,37.5
Rajesh Exports Ltd.,RAJESHEXPO,738.20,-1.95,219070.88,281167,741.2,745,734.05
Reliance Industries Limited,RELIANCE,1618.00,-4.15,5247506.75,2180018,1631.6,1631.6,1612.55
Reliance Infrastructure Ltd,RELINFRA,544.00,13.55,143296.13,1504888,532,548,528.35
Jubilant FoodWorks Ltd,JUBLFOOD,1265.00,-14.30,83424.83,352060,1270.1,1286,1258
Mahindra & Mahindra Limited,M&M,1401.00,-17.05,831091.56,1493977,1390,1430,1384.95
Mahindra Holidays & Resorts India Ltd.,MHRIL,381.50,11.80,50801.97,51182,372.95,386,366.9
Reliance Communications Ltd,RCOM,23.75,0.45,59113.27,10010204,23.3,24.1,23.25
United Bank of India,UNITEDBNK,19.05,0.00,26562.47,202597,19.25,19.35,19.05
United Spirits Ltd,MCDOWELL-N,2567.00,-29.10,372926.98,271272,2599,2624.9,2562
Unichem Laboratories Limited,UNICHEMLAB,261.20,-1.70,23793.35,14209,264.8,264.8,260.05
Adani Enterprises Ltd,ADANIENT,140.20,2.20,154641.62,2242614,138.45,140.9,138
Adani Power Ltd,ADANIPOWER,33.00,0.10,127667.04,5312933,33.4,33.55,32.6
Adani Transmission Ltd,ADANITRANS,128.20,4.40,140768.25,544692,124.65,130.5,124.55
Power Finance Corporation Limited,PFC,137.10,8.65,362802.56,9487982,129.25,137.45,129
Repco Home Finance Ltd,REPCOHOME,704.00,-63.35,43834.69,1322353,721,728.85,695.5
RBL Bank Ltd,540065,519.90,4.45,196723.30,87633,518.8,523.5,517.1
JM Financial Limited,JMFINANCIL,123.60,0.50,97841.94,469359,123.5,125.55,122.7
SpiceJet Limited,500285,125.10,-3.10,74757.97,2836647,128.95,129.9,124.1
Jet Airways (India) Ltd,JETAIRWAYS,633.50,24.10,71424.79,2693245,615,637.35,610.1
Graphite India Ltd,GRAPHITE,240.15,21.05,46442.51,3679305,223,242,222
KEC International Ltd,KEC,298.55,-0.25,76895.28,1595387,299,306.9,294.15
Sterlite Technologies Limited,STRTECH,241.80,21.95,96218.04,2662689,221,241.8,217.4
UPL Ltd,UPL,879.45,-7.60,446788.07,664918,888,893.95,873.1
Reliance Capital Limited,RELCAPITAL,781.25,37.15,196757.05,5686320,749.5,785.7,743.3
Transport Corporation of India Limited,TCI,297.65,-0.50,22766.56,55450,300.9,306,295
Divi's Laboratories Ltd,DIVISLAB,681.45,-0.70,180150.91,427725,686,692.7,680.85
Finolex Industries Ltd,FINPIPE,586.15,0.30,72844.20,21566,586,597.15,586
V I P Industries Ltd,VIPIND,199.75,5.45,28112.39,371358,195.65,200,195.05
UltraTech Cement Ltd,ULTRACEMCO,4045.10,-36.25,1111129.20,159843,4081.35,4114.75,4042.35
Marico Limited,MARICO,334.20,9.35,432273.54,3052279,329,335.5,325
Future Retail Ltd,540064,430.70,28.65,211040.65,118444,404.85,436.8,404.85
Gujarat Mineral Development Corporation,GMDCLTD,139.50,2.00,44328.76,338864,137.55,142,137.55
Avenue Supermarts Ltd,DMART,922.10,10.75,570057.64,418558,921,933,915
Just Dial Ltd,JUSTDIAL,373.50,21.00,25890.18,3781635,354.6,375.7,350.95
IFCI Limited,IFCI,26.05,-0.10,43545.85,1634733,26.1,26.3,25.9
Godrej Industries Limited,GODREJIND,637.90,-12.05,214654.78,298077,655,655,636
IDFC Bank Ltd,IDFCBANK,57.75,0.45,196608.03,4566719,57.5,57.95,57.15
Central Depository Services (India) Ltd,CDSL,334.00,22.30,34981.56,7715813,312.7,338.6,308.05
NIIT Limited,NIITLTD,91.05,-0.55,15147.43,401632,91.85,93.5,90.9
NIIT Technologies Ltd.,NIITTECH,499.50,-3.30,30667.39,278026,502.8,507.15,495
Steel Authority of India Limited,SAIL,62.15,0.45,255882.70,3876935,61.95,62.9,61.9
Reliance Defence and Engineering Ltd,RDEL,59.05,0.85,43405.60,565107,58.6,59.2,58.25
Redington (India) Ltd,REDINGTON,143.00,-1.80,57396.34,206447,145,145.8,142.05
Godrej Properties Ltd,GODREJPROP,507.75,13.35,109558.32,233226,496.05,512,496.05
Godrej Consumer Products Limited,GODREJCP,965.00,4.15,656232.68,412422,968.95,973.7,949.95
Dr. Lal PathLabs Ltd,LALPATHLAB,838.60,24.35,70162.89,194729,819.9,858,814.25
Multi Commodity Exchange of India Ltd.,MCX,1114.00,-4.75,57105.69,109217,1120,1123.65,1111
Bharat Financial Inclusion Ltd,BHARATFIN,830.30,-10.15,114440.83,1118511,843,848.55,823.5
Unitech Limited,UNITECH,8.80,0.55,23023.45,65259055,8.45,9.2,8.4
Gujarat Alkalies & Chemicals Limited,GUJALKALI,401.00,1.25,29407.75,44852,397.5,402,396.05
Gujarat Pipavav Port Ltd,GPPL,142.00,2.10,68550.46,354186,138.2,142.9,138.2
Hero Motocorp Ltd,HEROMOTOCO,3940.05,-16.50,789269.17,644961,3950,4018.9,3927.85
Motherson Sumi Systems Limited,MOTHERSUMI,340.00,3.20,715373.62,1479574,341.25,342.75,336.15
Piramal Enterprises Ltd,PEL,2967.00,26.95,512003.48,103363,2960,2978.65,2921.85
Sasken Technologies Ltd,SASKEN,494.65,11.25,8400.95,27428,481,502,475.05
Religare Enterprises Limited,RELIGARE,103.35,1.20,18353.51,153435,102.9,104,102.15
Shankara Building Products Ltd,SHANKARA,1080.10,70.65,24788.83,245603,1012.95,1084,1006
Hindustan Zinc Ltd,HINDZINC,286.00,0.10,1208019.00,1733736,288,288.45,283.8
